"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000233929",36.4901497660747,-2.77422812546162,0.423653252976724,-6.54834609664626,5.81777690974044e-11,4.05434408643245e-09,NA
"ENSG00000270605",28.5937580445589,1.49628420408202,0.4186379203094,3.5741726477529,0.00035133705928863,0.00414467592951402,NA
"ENSG00000231606",11.6354317990112,-2.26646327692765,0.652337010456962,-3.47437481025336,0.000512045238031848,0.00562771214883601,NA
"ENSG00000092853",79.2305901772375,1.07092524218879,0.321492165112286,3.33110837029187,0.000865009201237108,0.00868517242821634,"CLSPN"
"ENSG00000224609",42.9608866422828,1.03600930726585,0.355581355548081,2.91356476120347,0.00357327712285823,0.0265750127840714,"HSD52"
"ENSG00000277397",10.5418539144301,2.00813719590312,0.61182832945219,3.28219060680165,0.00103003952738156,0.00995951888345916,NA
"ENSG00000162598",10.1142351161788,-1.79534392260593,0.664577287536237,-2.70148251569316,0.00690311097607537,0.044421660781749,"C1orf87"
"ENSG00000132854",14.2347373239436,3.24746385780239,0.853416064373253,3.80525278743999,0.00014165943907082,0.00191898056555548,"KANK4"
"ENSG00000137960",42.9940386395585,-1.67340321002177,0.564828955029243,-2.96267249602162,0.00304980872566177,0.0234800331350457,"GIPC2"
"ENSG00000116675",116.125974643527,-2.18195596088443,0.411911923700834,-5.29714202317959,1.17629205346115e-07,3.90354696259699e-06,"DNAJC6"
"ENSG00000172260",2927.11929651903,-1.47837363062539,0.353834151964767,-4.17815415051457,2.93884454269932e-05,0.000502994120043283,"NEGR1"
"ENSG00000170989",537.227603316189,1.4559205478162,0.22086171935406,6.59200042485515,4.33939353505548e-11,3.09280411953045e-09,"S1PR1"
"ENSG00000116299",63.9781942854921,1.10640329937747,0.290850348629933,3.80402947628995,0.000142361229070958,0.00192709991812889,"ELAPOR1"
"ENSG00000137962",10243.4308459732,-1.21817117191301,0.288817710095598,-4.21778557661787,2.46713257551884e-05,0.000436292918618069,"ARHGAP29"
"ENSG00000023909",4211.14966860668,-1.2540524175822,0.199981386971693,-6.27084568505223,3.59092370531375e-10,2.11146313872448e-08,"GCLM"
"ENSG00000162692",1120.19383131953,3.60879680488526,0.321193910530227,11.2355704344701,2.72726616050893e-29,1.7105413358712e-26,"VCAM1"
"ENSG00000173947",169.492019060137,1.16956708327987,0.247141773930054,4.73237310180866,2.21910036226509e-06,5.19982470938728e-05,"CIMAP3"
"ENSG00000134253",298.45944121856,1.96051560947297,0.20791081368522,9.42959904164109,4.11659564330783e-21,1.19165944037662e-18,"TRIM45"
"ENSG00000183508",200.218442160778,2.5176989538418,0.322392934092807,7.80941108689757,5.74558135631785e-15,7.72206134289119e-13,"TENT5C"
"ENSG00000225279",21.6024375786466,2.77871937797739,0.765558852928713,3.62966134784694,0.000283793297229819,0.00345621662179694,NA
